id,user_id,date,flight_number,from,to,departure_time,arrival_time,duration,airline,aircraft,registration,seat_number,seat_type,flight_class,flight_reason,note
96fe0bd5-ebab-4ce1-a3fe-e8644c98571d,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2008-04-15,W60277,ae576c29-3f92-464d-a24e-8be699b4a1d9,9bba640f-8719-4428-afc6-55cb317f08bb,12:35:00,14:40:00,02:05:00,5f2bb056-63d9-4ae0-9f48-324f389c86df,cbb306bf-35ca-4dba-ab30-be29d4fd671b,HA-LPD,4A,Window,Economy,Leisure,
fb69bc10-9895-4ea6-a4ad-564ea2c22617,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2008-04-18,NB457,7cea0d62-76cb-453f-806e-555b9bee5da1,d549830a-90a9-42c9-91aa-8cfd43faddab,16:20:00,17:35:00,01:15:00,d1f39f18-12b3-4171-b16c-6cb5f422162b,9bc25759-309d-4a83-93d5-5b5b9d107a02,,5C,Aisle,Economy,Leisure,
ddb19be9-6f0a-45cb-9ae8-70a7ff74ebfa,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2008-04-20,NB567,d549830a-90a9-42c9-91aa-8cfd43faddab,ae576c29-3f92-464d-a24e-8be699b4a1d9,11:10:00,13:15:00,02:05:00,d1f39f18-12b3-4171-b16c-6cb5f422162b,20ff1ca6-197c-4c5d-acb4-00537b36d88e,OY-MRG,2C,Aisle,Economy,Leisure,
300b547a-91d7-4b99-99db-be562a85dcab,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2008-09-22,NB568,ae576c29-3f92-464d-a24e-8be699b4a1d9,d549830a-90a9-42c9-91aa-8cfd43faddab,12:20:00,14:30:00,02:10:00,d1f39f18-12b3-4171-b16c-6cb5f422162b,9bc25759-309d-4a83-93d5-5b5b9d107a02,,1F,Window,Economy,Leisure,
c6b44cb8-c94e-4e67-b44d-6623132339f3,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2008-11-14,SK1470,d549830a-90a9-42c9-91aa-8cfd43faddab,eb905cd2-1b07-4598-b7a8-2db84164f568,19:10:00,20:20:00,01:10:00,e157e076-28f8-4d8f-ae5e-f29d6604dd37,c0c623c4-f23d-4969-b4db-5f5641bb0676,LN-RRL,27C,Aisle,Economy,Leisure,AC: Jarlabanke Viking
87329759-ff1f-4279-9e82-61b3d9ff2b75,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2008-11-16,SK467,eb905cd2-1b07-4598-b7a8-2db84164f568,d549830a-90a9-42c9-91aa-8cfd43faddab,20:20:00,21:30:00,01:10:00,e157e076-28f8-4d8f-ae5e-f29d6604dd37,6e27733e-39cc-42ee-8082-cd6d588fbfda,LN-ROY,28F,Window,Economy,Leisure,AC: Spjute Viking
09c7aae9-472f-4419-ab2f-0ae28cad44e9,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2008-12-21,MA753,d549830a-90a9-42c9-91aa-8cfd43faddab,ae576c29-3f92-464d-a24e-8be699b4a1d9,20:25:00,22:15:00,01:50:00,d8ee446b-d62f-4391-90fc-c08c4c40a48c,c0c623c4-f23d-4969-b4db-5f5641bb0676,HA-LOH,7C,Aisle,Economy,Leisure,
9966d3dd-1678-433e-bfc6-dddf2c8f856b,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2008-12-28,MA750,ae576c29-3f92-464d-a24e-8be699b4a1d9,d549830a-90a9-42c9-91aa-8cfd43faddab,07:20:00,09:15:00,01:55:00,d8ee446b-d62f-4391-90fc-c08c4c40a48c,9bc25759-309d-4a83-93d5-5b5b9d107a02,,5D,Aisle,Economy,Leisure,
c33026d4-421c-4f01-b9ee-b7e108397a5e,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2010-06-17,DY3551,ae576c29-3f92-464d-a24e-8be699b4a1d9,d549830a-90a9-42c9-91aa-8cfd43faddab,14:35:00,16:25:00,01:50:00,0869aacc-fd11-4fa8-9c34-09c5a3b71bbe,c0c623c4-f23d-4969-b4db-5f5641bb0676,LN-KKG,2D,Aisle,Economy,Leisure,
e283df17-7157-433f-a134-e11122e34179,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2010-06-20,DY3550,d549830a-90a9-42c9-91aa-8cfd43faddab,ae576c29-3f92-464d-a24e-8be699b4a1d9,14:05:00,16:00:00,01:55:00,0869aacc-fd11-4fa8-9c34-09c5a3b71bbe,c0c623c4-f23d-4969-b4db-5f5641bb0676,LN-KKT,3D,Aisle,Economy,Leisure,
